评分,评论内容
5,手机早就收到了，用了一段时间才来评价的。首先这个手机尺寸我手拿稍微大点没有想像中的大，还有就是屏幕太清晰了而且色彩度太好了我手机k70的有时候看视频比我k70还清晰而且还是1-120刷新率的真棒。前置摄像头真清晰比我k70照相还清晰这手机是我买给我女儿用的音质也好我特意用我k70手机对比的。还有就是待机时间长就是看这款手机综合对比比别的手机性价比高才买的没让我失望好评。
5,"手机好用流畅，手感好，充电速度很快，续航好，
外形外观：金属质感，有档次
待机时间：待机时间长
其他特色：性价比高的"
